Ticker;Maturity;AdjstdQt;Data_Referencia
DI1J29;02/04/2029;59318.62;04/10/2024
DI1N29;02/07/2029;57598.1;04/10/2024
DI1V29;01/10/2029;55905.84;04/10/2024
DI1F30;02/01/2030;54326.67;04/10/2024
DI1F31;02/01/2031;48431.07;04/10/2024
DI1F32;02/01/2032;43205.9;04/10/2024
DI1F33;03/01/2033;38527.59;04/10/2024
DI1F34;02/01/2034;34487.48;04/10/2024
DI1F35;02/01/2035;30810.92;04/10/2024
DI1F36;02/01/2036;27536.86;04/10/2024
DI1F37;02/01/2037;24521.14;04/10/2024
DI1F38;04/01/2038;21875.76;04/10/2024
DI1F39;03/01/2039;19497.89;04/10/2024
DI1X24;01/11/2024;99239.33;07/10/2024
DI1Z24;02/12/2024;98457.64;07/10/2024
DI1F25;02/01/2025;97568.15;07/10/2024
DI1G25;03/02/2025;96624.33;07/10/2024
DI1H25;05/03/2025;95740.28;07/10/2024
DI1J25;01/04/2025;94898.67;07/10/2024
DI1K25;02/05/2025;94004.9;07/10/2024
DI1M25;02/06/2025;93073.34;07/10/2024
DI1N25;01/07/2025;92182.01;07/10/2024
DI1Q25;01/08/2025;91175.38;07/10/2024
DI1U25;01/09/2025;90267.81;07/10/2024
DI1V25;01/10/2025;89320.21;07/10/2024
DI1F26;02/01/2026;86630.79;07/10/2024
DI1J26;01/04/2026;84150.99;07/10/2024
DI1N26;01/07/2026;81774.5;07/10/2024
DI1V26;01/10/2026;79345.7;07/10/2024
DI1F27;04/01/2027;77166.08;07/10/2024
DI1J27;01/04/2027;75054.11;07/10/2024
DI1N27;01/07/2027;72897.21;07/10/2024
DI1V27;01/10/2027;70678.9;07/10/2024
DI1F28;03/01/2028;68684.29;07/10/2024
DI1J28;03/04/2028;66669.86;07/10/2024
DI1N28;03/07/2028;64799.13;07/10/2024
DI1V28;02/10/2028;62922.95;07/10/2024
DI1F29;02/01/2029;61198.65;07/10/2024
DI1J29;02/04/2029;59494.25;07/10/2024
DI1N29;02/07/2029;57779.14;07/10/2024
DI1V29;01/10/2029;56099.56;07/10/2024
DI1F30;02/01/2030;54548.08;07/10/2024
DI1F31;02/01/2031;48648.8;07/10/2024
DI1F32;02/01/2032;43392.22;07/10/2024
DI1F33;03/01/2033;38739.83;07/10/2024
DI1F34;02/01/2034;34676.01;07/10/2024
DI1F35;02/01/2035;31040.92;07/10/2024
DI1F36;02/01/2036;27761.26;07/10/2024
DI1F37;02/01/2037;24738.0;07/10/2024
DI1F38;04/01/2038;22084.19;07/10/2024
DI1F39;03/01/2039;19697.12;07/10/2024
DI1X24;01/11/2024;99279.48;08/10/2024
DI1Z24;02/12/2024;98497.27;08/10/2024
DI1F25;02/01/2025;97609.28;08/10/2024
DI1G25;03/02/2025;96665.3;08/10/2024
DI1H25;05/03/2025;95786.33;08/10/2024
DI1J25;01/04/2025;94947.72;08/10/2024
DI1K25;02/05/2025;94055.7;08/10/2024
DI1M25;02/06/2025;93129.65;08/10/2024
DI1N25;01/07/2025;92239.95;08/10/2024
DI1Q25;01/08/2025;91236.35;08/10/2024
DI1U25;01/09/2025;90333.96;08/10/2024
DI1V25;01/10/2025;89383.61;08/10/2024
DI1F26;02/01/2026;86702.11;08/10/2024
DI1J26;01/04/2026;84225.34;08/10/2024
DI1N26;01/07/2026;81858.69;08/10/2024
DI1V26;01/10/2026;79448.07;08/10/2024
DI1F27;04/01/2027;77262.8;08/10/2024
DI1J27;01/04/2027;75156.19;08/10/2024
DI1N27;01/07/2027;73003.02;08/10/2024
DI1V27;01/10/2027;70825.57;08/10/2024
DI1F28;03/01/2028;68828.26;08/10/2024
DI1J28;03/04/2028;66840.77;08/10/2024
DI1N28;03/07/2028;64946.91;08/10/2024
DI1V28;02/10/2028;63049.83;08/10/2024
