Ticker;Maturity;AdjstdQt;Data_Referencia
DI1F26;02/01/2026;73576.13;06/01/2021
DI1N26;01/07/2026;70776.32;06/01/2021
DI1F27;04/01/2027;67870.97;06/01/2021
DI1F28;03/01/2028;62636.6;06/01/2021
DI1F29;02/01/2029;57667.37;06/01/2021
DI1F30;02/01/2030;53142.71;06/01/2021
DI1F31;02/01/2031;48898.78;06/01/2021
DI1F33;03/01/2033;41446.51;06/01/2021
DI1F35;02/01/2035;35173.61;06/01/2021
DI1G21;01/02/2021;99872.05;07/01/2021
DI1H21;01/03/2021;99736.48;07/01/2021
DI1J21;01/04/2021;99554.7;07/01/2021
DI1K21;03/05/2021;99381.4;07/01/2021
DI1M21;01/06/2021;99190.68;07/01/2021
DI1N21;01/07/2021;98992.15;07/01/2021
DI1Q21;02/08/2021;98755.11;07/01/2021
DI1U21;01/09/2021;98454.63;07/01/2021
DI1V21;01/10/2021;98154.37;07/01/2021
DI1X21;01/11/2021;97844.39;07/01/2021
DI1Z21;01/12/2021;97509.46;07/01/2021
DI1F22;03/01/2022;97105.11;07/01/2021
DI1J22;01/04/2022;95873.47;07/01/2021
DI1N22;01/07/2022;94495.38;07/01/2021
DI1V22;03/10/2022;92974.72;07/01/2021
DI1F23;02/01/2023;91453.61;07/01/2021
DI1J23;03/04/2023;89880.89;07/01/2021
DI1N23;03/07/2023;88293.65;07/01/2021
DI1V23;02/10/2023;86658.42;07/01/2021
DI1F24;02/01/2024;85126.48;07/01/2021
DI1J24;01/04/2024;83468.96;07/01/2021
DI1N24;01/07/2024;81793.21;07/01/2021
DI1V24;01/10/2024;80247.96;07/01/2021
DI1F25;02/01/2025;78786.02;07/01/2021
DI1J25;01/04/2025;77253.98;07/01/2021
DI1N25;01/07/2025;75876.08;07/01/2021
DI1V25;01/10/2025;74226.72;07/01/2021
DI1F26;02/01/2026;72721.57;07/01/2021
DI1N26;01/07/2026;69868.03;07/01/2021
DI1F27;04/01/2027;66908.82;07/01/2021
DI1F28;03/01/2028;61542.01;07/01/2021
DI1F29;02/01/2029;56456.09;07/01/2021
DI1F30;02/01/2030;51824.62;07/01/2021
DI1F31;02/01/2031;47486.34;07/01/2021
DI1F33;03/01/2033;40013.01;07/01/2021
DI1F35;02/01/2035;33759.63;07/01/2021
DI1G21;01/02/2021;99879.57;08/01/2021
DI1H21;01/03/2021;99744.0;08/01/2021
DI1J21;01/04/2021;99561.92;08/01/2021
DI1K21;03/05/2021;99386.63;08/01/2021
DI1M21;01/06/2021;99193.16;08/01/2021
DI1N21;01/07/2021;98973.06;08/01/2021
DI1Q21;02/08/2021;98728.71;08/01/2021
DI1U21;01/09/2021;98420.48;08/01/2021
DI1V21;01/10/2021;98111.88;08/01/2021
DI1X21;01/11/2021;97791.6;08/01/2021
DI1Z21;01/12/2021;97446.29;08/01/2021
DI1F22;03/01/2022;97028.92;08/01/2021
DI1J22;01/04/2022;95773.01;08/01/2021
DI1N22;01/07/2022;94396.06;08/01/2021
DI1V22;03/10/2022;92866.94;08/01/2021
DI1F23;02/01/2023;91357.78;08/01/2021
DI1J23;03/04/2023;89777.88;08/01/2021
DI1N23;03/07/2023;88187.06;08/01/2021
DI1V23;02/10/2023;86537.83;08/01/2021
DI1F24;02/01/2024;84989.61;08/01/2021
DI1J24;01/04/2024;83378.89;08/01/2021
DI1N24;01/07/2024;81758.72;08/01/2021
DI1V24;01/10/2024;80126.28;08/01/2021
